Timestamp, Equity
2020-01-15, 300
2020-01-16, 300
2020-01-17, 300
2020-01-21, 300
2020-01-22, 300
2020-01-23, 300
2020-01-24, 300
2020-01-27, 300
2020-01-28, 300
2020-01-29, 300
2020-01-30, 300
2020-01-31, 300
2020-02-03, 300
2020-02-04, 300
2020-02-05, 300
2020-02-06, 300
2020-02-07, 300
2020-02-10, 300
2020-02-11, 300
2020-02-12, 300
2020-02-13, 300
2020-02-14, 300
2020-02-18, 300
2020-02-19, 300
2020-02-20, 300
2020-02-21, 300
2020-02-24, 300
2020-02-25, 300
2020-02-26, 300
2020-02-27, 300
2020-02-28, 300
2020-03-02, 300
2020-03-03, 300
2020-03-04, 300
2020-03-05, 300
2020-03-06, 300
2020-03-09, 300
2020-03-10, 300
2020-03-11, 300
2020-03-12, 300
2020-03-13, 300
2020-03-16, 300
2020-03-17, 300
2020-03-18, 300
2020-03-19, 300
2020-03-20, 300
2020-03-23, 300
2020-03-24, 300
2020-03-25, 300
2020-03-26, 300
2020-03-27, 300
2020-03-30, 300
2020-03-31, 300
2020-04-01, 300
2020-04-02, 300
2020-04-03, 300
2020-04-06, 300
2020-04-07, 300
2020-04-08, 300
2020-04-09, 300
2020-04-13, 300
2020-04-14, 300
2020-04-15, 300
2020-04-16, 300
2020-04-17, 300
2020-04-20, 300
2020-04-21, 300
2020-04-22, 300
2020-04-23, 300
2020-04-24, 300
2020-04-27, 300
2020-04-28, 300
2020-04-29, 300
2020-04-30, 300
2020-05-01, 300
2020-05-04, 300
2020-05-05, 300
2020-05-06, 300
2020-05-07, 300
2020-05-08, 300
2020-05-11, 300
2020-05-12, 300
2020-05-13, 300
2020-05-14, 300
2020-05-15, 300
2020-05-18, 300
2020-05-19, 300
2020-05-20, 300
2020-05-21, 300
2020-05-22, 300
2020-05-26, 300
2020-05-27, 300
2020-05-28, 300
2020-05-29, 300
2020-06-01, 300
2020-06-02, 300
2020-06-03, 300
2020-06-04, 300
2020-06-05, 300
2020-06-08, 300
2020-06-09, 300
2020-06-10, 300
2020-06-11, 300
2020-06-12, 300
2020-06-15, 300
2020-06-16, 300
2020-06-17, 300
2020-06-18, 300
2020-06-19, 300
2020-06-22, 300
2020-06-23, 300
2020-06-24, 300
2020-06-25, 300
2020-06-26, 300
2020-06-29, 300
2020-06-30, 300
2020-07-01, 300
2020-07-02, 300
2020-07-06, 300
2020-07-07, 300
2020-07-08, 300
2020-07-09, 300
2020-07-10, 300
2020-07-13, 300
2020-07-14, 300
2020-07-15, 300
2020-07-16, 300
2020-07-17, 300
2020-07-20, 300
2020-07-21, 300
2020-07-22, 300
2020-07-23, 300
2020-07-24, 300
2020-07-27, 300
2020-07-28, 300
2020-07-29, 300
2020-07-30, 300
2020-07-31, 300
2020-08-03, 300
2020-08-04, 300
2020-08-05, 300
2020-08-06, 300
2020-08-07, 300
2020-08-10, 300
2020-08-11, 300
2020-08-12, 300
2020-08-13, 300
2020-08-14, 300
2020-08-17, 300
2020-08-18, 300
2020-08-19, 300
2020-08-20, 300
2020-08-21, 300
2020-08-24, 300
2020-08-25, 300
2020-08-26, 300
2020-08-27, 300
2020-08-28, 300
2020-08-31, 300
2020-09-01, 300
2020-09-02, 300
2020-09-03, 300
2020-09-04, 300
2020-09-08, 300
2020-09-09, 300
2020-09-10, 300
2020-09-11, 300
2020-09-14, 300
2020-09-15, 300
2020-09-16, 300
2020-09-17, 300
2020-09-18, 300
2020-09-21, 300
2020-09-22, 300
2020-09-23, 300
2020-09-24, 300
2020-09-25, 300
2020-09-28, 300
2020-09-29, 300
2020-09-30, 300
2020-10-01, 300
2020-10-02, 300
2020-10-05, 300
2020-10-06, 300
2020-10-07, 300
2020-10-08, 300
2020-10-09, 300
2020-10-12, 300
2020-10-13, 300
2020-10-14, 300
2020-10-15, 301.86
2020-10-16, 300.64
2020-10-19, 300.64
2020-10-20, 300.64
2020-10-21, 299.54
2020-10-22, 301.68
2020-10-23, 301.97
2020-10-26, 301.04
2020-10-27, 307.49
2020-10-28, 284.9
2020-10-29, 281.85
2020-10-30, 281.85
2020-11-02, 282.09
2020-11-03, 283.98
2020-11-04, 282.36
2020-11-05, 288.14
2020-11-06, 283.7
2020-11-09, 278.33
2020-11-10, 282.53
2020-11-11, 280.75
2020-11-12, 281.44
2020-11-13, 274.5
2020-11-16, 288.02
2020-11-17, 287.86
2020-11-18, 287.86
2020-11-19, 287.66
2020-11-20, 287.06
2020-11-23, 287.06
2020-11-24, 287.06
2020-11-25, 287.06
2020-11-27, 287.06
2020-11-30, 288.11
2020-12-01, 295.62
2020-12-02, 288.47
2020-12-03, 291.85
2020-12-04, 292.89
2020-12-07, 292.89
2020-12-08, 292.89
2020-12-09, 292.89
2020-12-10, 292.89
2020-12-11, 292.89
2020-12-14, 292.89
2020-12-15, 292.89
2020-12-16, 292.89
2020-12-17, 292.89
2020-12-18, 292.89
2020-12-21, 310.88
2020-12-22, 318.84
2020-12-23, 318.84
2020-12-24, 318.84
2020-12-28, 318.84
2020-12-29, 318.84
2020-12-30, 318.84
2020-12-31, 318.84
2021-01-04, 318.84
2021-01-05, 318.63
2021-01-06, 315.64
2021-01-07, 322.17
2021-01-08, 324.42
2021-01-11, 324.77
2021-01-12, 327.85
2021-01-13, 330.01
2021-01-14, 331.47
2021-01-15, 331.89
